id,user_name,rating,date,text,review_length,likes,photo_count,user_info,has_owner_reply,reply_text,scraped_date
43,,5,قبل 5 سنوات,"🛎المكان: رائع ورايق ومبتكر والإضاءة جميله الجو العام خيال.
🛎الخدمة: سريعة والطاقم كله مهذب.
🛎الأكل: كان لذيذ تحس صدق مسوا بأيدي سعودية صح👍🏻 وكان طلبنا؛
-جريش الرياض: لذيذ كأن جدتي اللي مسويته👍🏻
-مانتو المدينة : لذييذ وفيه لذعه حارة رائعة.
-سمبوسة لحم: لذاااذه كانها حقت رمضان.
-سلطة جح🍉🥗 حلوه.
-كباب ميرو طعمه عادي والكباب ناشف شوي.
-كبيبة حايل: لذيذة
-حنيني تشيز 🍰 مب مرة.
-خربز سهيل: حلو
-القهوة السعودية غسااال مب زينه ماظبطوها.
🛎الأسعار💳 مرتفعه بس يستاهل.
( يتطلب الحجز مسبقًا )
يسمح بدخول الأطفال🚼",502,0,4,,لا,,2026-02-08
44,,4,قبل سنتين,"اول زياره
سلطة البطيخ الصراحه سيىء البطيخ في طعم و الجبنه سيئه والصوص قليل كانت ناشفه ٣/١٠
الكبيبه رائعه صراحه ١٠/١٠
المنتو حلو كمان اللحمه طريه والصوص ممتاز ١٠/١٠
السليق من اجمل المطاعم اللي اكلت فيها سليق ١٠٠٠٠/١٠
في طبق اخر نسيت اسمه بس اتوقع كباب وكان مقبول
الديكور داخل كان رايق مره
الخدمه صراحه سيئه متوقع ب مطعم يعتبر fine dining
ان السيرفس تكون افضل خصوصي بتقديم الاكل والمساعده بتوزيع الاطباق
ارجع للمكان عشان السليق",425,0,3,,لا,,2026-02-08
45,,5,قبل سنتين,من المطاعم الي تميزت بالاكل الشعبي السعودي وطريقة تقديمه وجودة الاكل ويستاهل اني اكرر زيارتي لهم ومكان رايق الاطباق كلها كانت لذيذه واتفق ان الكمية جدااً كانت قليله على اسعارهم لكن ان شاءلله انهم ينتبهون لهذي النقطه,215,0,4,,لا,,2026-02-08
46,Maymonah AS,4,قبل 5 سنوات,"الاكل جداً لذيذ خصوصا المنتو والمفلق الحساوي،
الخدمة جيده جداً تعامل المضيفين رائع والجميل ان معظمهم سعوديين، الاسعار متوقعه جداً ومقبوله لمطعم بهذا التصنيف، الكميات جيده جدا ومشبعة. …",184,0,4,قبل 5 سنوات,لا,,2026-02-08
47,FAHD ALSHAYA,4,قبل 5 سنوات,مطعم سهيل فكرة بسيطه مطعم يقدم الاكلات السعودية بطابع مطور في التقديم والمكان والفخامة …,88,0,4,قبل 5 سنوات,لا,,2026-02-08
48,Shog O,5,قبل 5 سنوات,"مطعم سعودي قالب وقالباً (سهيل )

مكان جداً رائع وساحر بديكوره يوحي لك بالصحراء وبيت شعر …",89,0,4,قبل 5 سنوات,لا,,2026-02-08
49,Marya Anber,3,قبل 4 سنوات,"المطعم فخم وراقي ورومانسي وهادئ واضاءة خافتة جداً هدا الشي مرة عجبني وكيف انو خدمتهم عالية، يجي يغرفلك ويغير عربية الطفل لكرسي طفل فخم بدون مانطلبو، تقديم الاكل جميل جداً وراقي وترتيب المائدة ايضاً. يعيشك تجربة غنية. الطعام المُقدّم سعودي، بس للامانة الاكل اقل من عادي رغم انو المطعم واو، يعني اكل بيتنا اطعم ومرة كان ماسخ والاسعار تعتبر عالية والاطباق كدة تجي قلييلة.

الموسيقى المباشرة كانت جداً عالية ومزعجة. السكن الداخلي شي مو طبيعي تصميم يخليك تتأمل وما تاكل. بس اعتقد محد يقدر يقعد هناك بسبب صوت الموسيقى العالي والمزعج",526,0,4,قبل 4 سنوات,لا,,2026-02-08
50,Norah B SA,4,قبل 4 سنوات,الديكور خوووورافي 😍❤️❤️❤️ وتقديم الأكل يغرف العقل ومره يواااجه تعزم فيه غالي 🤩.. …,82,0,4,قبل 4 سنوات,لا,,2026-02-08
51,mohammed fahad,4,تاريخ التعديل: قبل 3 سنوات,الزيارة كانت ظهر الاربعاء وفي هذا الوقت لايوجد زحام، المطعم يقدم مأكولات شعبية من مناطق متعددة في المملكة بلمسة عصرية. …,120,0,3,تاريخ التعديل: قبل 3 سنوات,لا,,2026-02-08
52,Manar,5,قبل 4 سنوات,طابع المكان جداً جميل ومميز ، الديكور يخليك عايش جو عربي خيالي. الشخص اللي صمم المطعم فنان ماشاء الله! …,104,0,4,قبل 4 سنوات,لا,,2026-02-08
53,Yazeed Mohammed,4,قبل 3 سنوات,"السلام عليكم ورحمة الله وبركاته

أصدقاء مطاعم الرياض ، اليوم تجربتي في ســهيل …",79,0,4,قبل 3 سنوات,لا,,2026-02-08
54,Dr.N A A,5,قبل 5 سنوات,"This resturant became one of my favorite Saudi food restaurant . The saleeq, Jareesh, the meat shoulder and kubibat hail were super delicious. The restaurant and classic  and family friendly. …",193,0,3,قبل 5 سنوات,لا,,2026-02-08
55,,4,قبل 5 سنوات,"الاكل جداً لذيذ خصوصا المنتو والمفلق الحساوي،
الخدمة جيده جداً تعامل المضيفين رائع والجميل ان معظمهم سعوديين، الاسعار متوقعه جداً ومقبوله لمطعم بهذا التصنيف، الكميات جيده جدا ومشبعة. …",184,0,4,,لا,,2026-02-08
56,,0,,"الاكل جداً لذيذ خصوصا المنتو والمفلق الحساوي،
الخدمة جيده جداً تعامل المضيفين رائع والجميل ان معظمهم سعوديين، الاسعار متوقعه جداً ومقبوله لمطعم بهذا التصنيف، الكميات جيده جدا ومشبعة. …",184,0,0,,لا,,2026-02-08
57,,4,قبل 5 سنوات,مطعم سهيل فكرة بسيطه مطعم يقدم الاكلات السعودية بطابع مطور في التقديم والمكان والفخامة …,88,0,4,,لا,,2026-02-08
58,,5,قبل 5 سنوات,"مطعم سعودي قالب وقالباً (سهيل )

مكان جداً رائع وساحر بديكوره يوحي لك بالصحراء وبيت شعر …",89,0,4,,لا,,2026-02-08
59,,3,قبل 4 سنوات,"المطعم فخم وراقي ورومانسي وهادئ واضاءة خافتة جداً هدا الشي مرة عجبني وكيف انو خدمتهم عالية، يجي يغرفلك ويغير عربية الطفل لكرسي طفل فخم بدون مانطلبو، تقديم الاكل جميل جداً وراقي وترتيب المائدة ايضاً. يعيشك تجربة غنية. الطعام المُقدّم سعودي، بس للامانة الاكل اقل من عادي رغم انو المطعم واو، يعني اكل بيتنا اطعم ومرة كان ماسخ والاسعار تعتبر عالية والاطباق كدة تجي قلييلة.

الموسيقى المباشرة كانت جداً عالية ومزعجة. السكن الداخلي شي مو طبيعي تصميم يخليك تتأمل وما تاكل. بس اعتقد محد يقدر يقعد هناك بسبب صوت الموسيقى العالي والمزعج",526,0,4,,لا,,2026-02-08
60,,4,قبل 4 سنوات,الديكور خوووورافي 😍❤️❤️❤️ وتقديم الأكل يغرف العقل ومره يواااجه تعزم فيه غالي 🤩.. …,82,0,4,,لا,,2026-02-08
61,,4,تاريخ التعديل: قبل 3 سنوات,الزيارة كانت ظهر الاربعاء وفي هذا الوقت لايوجد زحام، المطعم يقدم مأكولات شعبية من مناطق متعددة في المملكة بلمسة عصرية. …,120,0,3,,لا,,2026-02-08
62,,5,قبل 4 سنوات,طابع المكان جداً جميل ومميز ، الديكور يخليك عايش جو عربي خيالي. الشخص اللي صمم المطعم فنان ماشاء الله! …,104,0,4,,لا,,2026-02-08
63,,4,قبل 3 سنوات,"السلام عليكم ورحمة الله وبركاته

أصدقاء مطاعم الرياض ، اليوم تجربتي في ســهيل …",79,0,4,,لا,,2026-02-08
64,,5,قبل 5 سنوات,"This resturant became one of my favorite Saudi food restaurant . The saleeq, Jareesh, the meat shoulder and kubibat hail were super delicious. The restaurant and classic  and family friendly. …",193,0,3,,لا,,2026-02-08
65,Aminao0oo,5,تاريخ التعديل: قبل 3 سنوات,"من أجمل وأرقى المطاعم السعودية👌🏻🇸🇦
الديكور رهييب ومقدمين الخدمه تعاملهم جدا راقي ..
الاكل لذيذ جدا ومقدم بطريقه مبتكر لاطباقنا السعودية الاصيلة .. …",148,0,4,تاريخ التعديل: قبل 3 سنوات,لا,,2026-02-08
66,Abdullah,3,قبل 3 سنوات,"الموقع جيد من حيث سهولة الوصول
الديكور و الراحة جيد عدا السقف الاحمر
الجلسات الخارجية روعة …",92,0,4,قبل 3 سنوات,لا,,2026-02-08
67,Nahla Suliman,4,قبل 5 سنوات,"مطعم شعبي بطابع عصري ..
الجلسات و الخدمة جميلة
تارت الحنيني لذيذ و مبتكر اعجبني جدا و اللقيمات حلوه بس تحتاج تصغير 😅 …",118,0,4,قبل 5 سنوات,لا,,2026-02-08
68,تجاربي,3,قبل 4 سنوات,"مطعم يقدم الاطباق السعودي من عدة مناطق بطريقه مبتكره
‏حبيت المكان جدا جميل والاجواء خرافيه ..
‏حبيت طريقة التقديم .. …",118,0,4,قبل 4 سنوات,لا,,2026-02-08
69,A W,6,قبل 4 سنوات,"بداية .. توقعته الذ من كذا
المكان صغير والديكور لطيف ..
كبسة اللحم طعمها مسمار فقط .. …",87,0,4,قبل 4 سنوات,لا,,2026-02-08
70,Bndr,4,قبل 5 سنوات,"مطعم سعودي فاخر مميز ب (بعض الأكلات السعودية) على الطريقة العالمية
اهم ما جذبني وافتخر به.. وجود طاقم شباب سعودي كامل من دخولك للباب وحتى حساب الفاتورة.. …",155,0,4,قبل 5 سنوات,لا,,2026-02-08
71,Abdulmajeed Mohammed,5,قبل 4 سنوات,كنت متخوف من المطعم بسبب أمرين (الأسعار مرتفعة + الكميات قليلة) لكن لما جربته تفاجأت صراحة بالجودة المرتفعة، والخدمة المتميزة، ونكهة الأطباق لذيذة، والتقديم بطريقة مبتكرة، وصحون فاخرة، جربت عندهم المنتو المديني، كبيبة حائل، شوربة جريش، سمبوسة لحم، حنيذ عسيري، والحلا تشيز كيك حنيني، كل الأطباق هذي لذيذة والنكهة فيها أصلية ومطبوخة ومقدمة بطريقة احترافية، فعلاً المطعم يواجه، ويشرف الشخص في حال بيعزم السياح أو الضيوف الأجانب ويعرفهم على الأكل السعودي من جميع مناطق المملكة، وارتفاع الأسعار وقلة الكميات يشفع لها التميز بالمطعم من جميع الجوانب ..,545,0,4,قبل 4 سنوات,لا,,2026-02-08
72,Asma Alsalem,3,قبل 5 سنوات,مطعم يقدم أكلات سعودية شعبية بطريقة فاخرة وجميلة... الاستقبال رائع، والشباب السعوديين قمة في الأخلاق والرقي والأدب والاحترافية العالية... ديكور المكان مبهر وأخاذ وجميل جداً. …,175,0,3,قبل 5 سنوات,لا,,2026-02-08
73,Sisters,5,قبل 4 سنوات,"سهيل

موقعه : النخيل "" طريق الدائري الشمالي "" …",47,0,4,قبل 4 سنوات,لا,,2026-02-08
74,ibra rest,5,قبل 5 سنوات,يبدو أننا على مشارف حلم طالما انتظرناه ، بوجهة سياحية سعودية أصيلة ! هذا من مطاعم المستقبل ، بالتصميم المستوحى من الصحراء ومروراً بمزيج من الأطباق المتنوعة للمدن الشمالية والجنوبية وخدمة سعودية ! بالإضافة إلى أن مدير الطهاة شيف سعودي مما يعطي شعور بالفخر والإنتماء من وسط الصحراء لقلب العالم بهذا الصرح الفريد ! شكراً لكل من اجتهد وعمل لأحلام السعوديين,352,0,4,قبل 5 سنوات,لا,,2026-02-08
75,‪Ghadah Albabtain (Gababtain)‬‏,4,قبل 5 سنوات,مطعم سعودي فاخر .. أرشحه يكون وجهه لزوار الرياض والسعودية بشكل عام 😍👌🏻🇸🇦 الأطباق شعبية متقنة ولذيذة وتقديمها مبتكر وعصري .. خصوصا تقديم الحنيذ العسيري 😍 دخت عالفكرة 😍 والديكور جميييل .. وفيه جلسات داخلية وخارجية .. الخدمة حلوة .. الأسعار مرتفعة مقارنة بالكمية …,261,0,4,قبل 5 سنوات,لا,,2026-02-08
76,ABDULLAH,5,قبل 3 سنوات,"مطعم جميل ورائع ولذيذ طلباتنا
سليق طائفي 10/10
كبيية حائل زي ورق العنب 10/10 …",78,0,4,قبل 3 سنوات,لا,,2026-02-08
77,bdoor fahad,6,قبل 4 سنوات,كنت متحمسه من قبل اني اجرب هذا المطعم كله اكل شعبي سعودي بطريقه شوي مودرن هذا الي كنت اسمعه عنه انعزمت فيه قهوه مغرب المكان حلوو المدخل بذات والجلسات الخارجيه رغم انه حر وتحتاج تكييف ورذاذ .. فاتوقع الشتاء فيه جمييل تجربتي القهوه العربيه حلوه و بالنسبه لقائمه الحلا جداا محييره ٤ حلويات فقط جربنهم كلهم  اول واحد حنيني طبعا عباره عن شيز تمر وموزعين جنبه الحنيني هذا حلوو و الثاني اتوقع محلى كان تمر كله ماعجبني الثالث زي حلا جوات الشمام يشبه الكريم بوليه اممم مره ماتناسب جونا واخر شي ايس كريم حبحب امم باهت طعمه ... مفروض يقدمون حلى يناسب الصيف ونفس الوقت مناسب مع القهوه العربيه كتجربه انك تتقهوى فيه ماانصح ... لي عوده ان شالله واجرب وجبه فيه لانو متحمسسه اذوق الكبيبه هنا 😋 وبسس,682,0,4,قبل 4 سنوات,لا,,2026-02-08
78,salas ssr,5,قبل سنتين,المطعم مخصص للأكلات الشعبية السعودية من مختلف المناطق من شرقها الى جنوبها ، الطعم متميز وليس تقليدي يعني عندهم اضافة على كل طبق انصح فيه جدا لضيوف من خارج المملكة و عندهم الرغبه بالتعرف على ثقافة الاكل السعودي هذا الاختيار بيكون مثالي,234,0,3,قبل سنتين,لا,,2026-02-08
79,ساره المزروع,4,قبل 3 سنوات,"تجربتي لمطعم سهيل
المكان: جميل الديكور 👌🏻التعامل رائع
الجلسات: بدون بارتيشن ، الخارجية روعة …",93,0,4,قبل 3 سنوات,لا,,2026-02-08
80,mohammed al.othman,4,قبل 4 سنوات,الاستقبال رائع والخدمه ممتازه والاكل لذيذ وعندي تحفظ على الحلى ماهو بالمستوى الى عليه المطعم المفروض افضل وخيرات اكثر والديكورات رائعه والجو العام جميل ونظيف والاسعار شوي مبالغ فيه,180,0,4,قبل 4 سنوات,لا,,2026-02-08
81,bdah alotaibi,5,قبل 3 سنوات,"حقيقة مطعم رائع
الاكل ممتاز ولذيذ وكان طلبي كالاتي:
سلطة …",58,0,4,قبل 3 سنوات,لا,,2026-02-08
82,Ms. Hind Ababtain,5,قبل 5 سنوات,"مطعم يترجملك فخامه السعوديه❤️
يحتاج حجز ومسموح الاطفال
اهتمام بأدق التفاصيل …",77,0,4,قبل 5 سنوات,لا,,2026-02-08
83,Etsh,4,قبل 3 سنوات,"بالبداية كانت الضيافة هذي لقيمات لذيذة .. الحلا رائع جداً ولذيذ بارد  .. السليق اقل اقل من عادي ، السلطة لذيذة ⭐️ .. أكرر التجربة للحلا والقهوة "" اللي حاب يجيه يتأكد من المينو اذا الاسعار تناسبة او لا",200,0,4,قبل 3 سنوات,لا,,2026-02-08
84,منى عبدالله,5,قبل سنتين,"من افخم المطاعم اللي زرتها
الاكل لذيذذ التقديم مررره مميز خدمتهم جداً سريعه والموظفين بشوشين
طلبت منهم حنيذ عسيري وكبيبه حايليه ومنتو ومفلق …",141,0,4,قبل سنتين,لا,,2026-02-08
85,,5,تاريخ التعديل: قبل 3 سنوات,"من أجمل وأرقى المطاعم السعودية👌🏻🇸🇦
الديكور رهييب ومقدمين الخدمه تعاملهم جدا راقي ..
الاكل لذيذ جدا ومقدم بطريقه مبتكر لاطباقنا السعودية الاصيلة .. …",148,0,4,,لا,,2026-02-08
86,,3,قبل 3 سنوات,"الموقع جيد من حيث سهولة الوصول
الديكور و الراحة جيد عدا السقف الاحمر
الجلسات الخارجية روعة …",92,0,4,,لا,,2026-02-08
87,,4,قبل 5 سنوات,"مطعم شعبي بطابع عصري ..
الجلسات و الخدمة جميلة
تارت الحنيني لذيذ و مبتكر اعجبني جدا و اللقيمات حلوه بس تحتاج تصغير 😅 …",118,0,4,,لا,,2026-02-08
88,,3,قبل 4 سنوات,"مطعم يقدم الاطباق السعودي من عدة مناطق بطريقه مبتكره
‏حبيت المكان جدا جميل والاجواء خرافيه ..
‏حبيت طريقة التقديم .. …",118,0,4,,لا,,2026-02-08
89,,4,قبل 5 سنوات,"مطعم سعودي فاخر مميز ب (بعض الأكلات السعودية) على الطريقة العالمية
اهم ما جذبني وافتخر به.. وجود طاقم شباب سعودي كامل من دخولك للباب وحتى حساب الفاتورة.. …",155,0,4,,لا,,2026-02-08
90,,5,قبل 4 سنوات,كنت متخوف من المطعم بسبب أمرين (الأسعار مرتفعة + الكميات قليلة) لكن لما جربته تفاجأت صراحة بالجودة المرتفعة، والخدمة المتميزة، ونكهة الأطباق لذيذة، والتقديم بطريقة مبتكرة، وصحون فاخرة، جربت عندهم المنتو المديني، كبيبة حائل، شوربة جريش، سمبوسة لحم، حنيذ عسيري، والحلا تشيز كيك حنيني، كل الأطباق هذي لذيذة والنكهة فيها أصلية ومطبوخة ومقدمة بطريقة احترافية، فعلاً المطعم يواجه، ويشرف الشخص في حال بيعزم السياح أو الضيوف الأجانب ويعرفهم على الأكل السعودي من جميع مناطق المملكة، وارتفاع الأسعار وقلة الكميات يشفع لها التميز بالمطعم من جميع الجوانب ..,545,0,4,,لا,,2026-02-08
91,,3,قبل 5 سنوات,مطعم يقدم أكلات سعودية شعبية بطريقة فاخرة وجميلة... الاستقبال رائع، والشباب السعوديين قمة في الأخلاق والرقي والأدب والاحترافية العالية... ديكور المكان مبهر وأخاذ وجميل جداً. …,175,0,3,,لا,,2026-02-08
92,,5,قبل 4 سنوات,"سهيل

موقعه : النخيل "" طريق الدائري الشمالي "" …",47,0,4,,لا,,2026-02-08
93,,5,قبل 5 سنوات,يبدو أننا على مشارف حلم طالما انتظرناه ، بوجهة سياحية سعودية أصيلة ! هذا من مطاعم المستقبل ، بالتصميم المستوحى من الصحراء ومروراً بمزيج من الأطباق المتنوعة للمدن الشمالية والجنوبية وخدمة سعودية ! بالإضافة إلى أن مدير الطهاة شيف سعودي مما يعطي شعور بالفخر والإنتماء من وسط الصحراء لقلب العالم بهذا الصرح الفريد ! شكراً لكل من اجتهد وعمل لأحلام السعوديين,352,0,4,,لا,,2026-02-08
94,,4,قبل 5 سنوات,مطعم سعودي فاخر .. أرشحه يكون وجهه لزوار الرياض والسعودية بشكل عام 😍👌🏻🇸🇦 الأطباق شعبية متقنة ولذيذة وتقديمها مبتكر وعصري .. خصوصا تقديم الحنيذ العسيري 😍 دخت عالفكرة 😍 والديكور جميييل .. وفيه جلسات داخلية وخارجية .. الخدمة حلوة .. الأسعار مرتفعة مقارنة بالكمية …,261,0,4,,لا,,2026-02-08
95,,5,قبل 3 سنوات,"مطعم جميل ورائع ولذيذ طلباتنا
سليق طائفي 10/10
كبيية حائل زي ورق العنب 10/10 …",78,0,4,,لا,,2026-02-08
96,,5,قبل سنتين,المطعم مخصص للأكلات الشعبية السعودية من مختلف المناطق من شرقها الى جنوبها ، الطعم متميز وليس تقليدي يعني عندهم اضافة على كل طبق انصح فيه جدا لضيوف من خارج المملكة و عندهم الرغبه بالتعرف على ثقافة الاكل السعودي هذا الاختيار بيكون مثالي,234,0,3,,لا,,2026-02-08
97,,4,قبل 3 سنوات,"تجربتي لمطعم سهيل
المكان: جميل الديكور 👌🏻التعامل رائع
الجلسات: بدون بارتيشن ، الخارجية روعة …",93,0,4,,لا,,2026-02-08
98,,4,قبل 4 سنوات,الاستقبال رائع والخدمه ممتازه والاكل لذيذ وعندي تحفظ على الحلى ماهو بالمستوى الى عليه المطعم المفروض افضل وخيرات اكثر والديكورات رائعه والجو العام جميل ونظيف والاسعار شوي مبالغ فيه,180,0,4,,لا,,2026-02-08
99,,5,قبل 3 سنوات,"حقيقة مطعم رائع
الاكل ممتاز ولذيذ وكان طلبي كالاتي:
سلطة …",58,0,4,,لا,,2026-02-08
100,,5,قبل 5 سنوات,"مطعم يترجملك فخامه السعوديه❤️
يحتاج حجز ومسموح الاطفال
اهتمام بأدق التفاصيل …",77,0,4,,لا,,2026-02-08
101,,4,قبل 3 سنوات,"بالبداية كانت الضيافة هذي لقيمات لذيذة .. الحلا رائع جداً ولذيذ بارد  .. السليق اقل اقل من عادي ، السلطة لذيذة ⭐️ .. أكرر التجربة للحلا والقهوة "" اللي حاب يجيه يتأكد من المينو اذا الاسعار تناسبة او لا",200,0,4,,لا,,2026-02-08
102,,5,قبل سنتين,"من افخم المطاعم اللي زرتها
الاكل لذيذذ التقديم مررره مميز خدمتهم جداً سريعه والموظفين بشوشين
طلبت منهم حنيذ عسيري وكبيبه حايليه ومنتو ومفلق …",141,0,4,,لا,,2026-02-08
103,FAHD ALSHAYA,4,قبل 5 سنوات,"مطعم سهيل فكرة بسيطه مطعم يقدم الاكلات السعودية بطابع مطور في التقديم والمكان والفخامة

التقييم بعد التجربة كالآتي:
المطبخ ونوعية الأكل(سعودي ).
⭐⭐⭐⭐⭐الموقع وسهولة الوصول ...
⭐⭐⭐⭐️⭐النظافة ...
⭐⭐⭐     تنوع قائمة الطعام ...
⭐⭐️⭐️⭐⭐️     الأسعار  ...
⭐⭐⭐           سرعة تجهيز الطلب ...
⭐⭐⭐⭐️           الطعم ...
⭐⭐⭐⭐        الديكورات والجلسات ...
⭐⭐                مواقف خاصة بالمطعم ...
⭐⭐    كمية الأكل في الطبق الواحد ...
⭐⭐                 راحة المقاعد والطاولات ...

ملاحظات
🍽جلسات العوائل معزولة عن الأفراد
🍽يوجد عوازل (بارتيشن)❌
🍽يوجد موسيقى✅
🍽اضاءة داخلية متوسطة✅

🍽خدمة الحجز المسبق✅
🍽تسهيلات الدخول والتنقل لذوي الهمم✅
🍽وجود صور للأطباق في المنيو (حاليا بسبب الاوضاع  لجائحة كورونا لا اعتقد وجود ذلك وكان الطلب عن طريق مسح الباركود
🍽المنيو الكتروني✅
🍽جلسات خارجية للعوائل والأفراد✅
انصح فيها بالليل بتكون شرحة وجميله تم زيارته بالنهار ولكن اعنقد الجو بالليل بيكون اجمل وافضل اللي يهمه جو المكان على نوعية الاكل 😅

هذي طلباتي
⬇️

تجربه رائعه المكان جميل وشرح والديكور راقي
وهذي طلباتي
* برياني لحم انصح فيه كثير لذيذ بصراحه 😍
* السليق مع الدجاج جيد لا بأس فيها ولا يمنع من تجربتها اللي يحبون السليق
* سلطة سهيل بالبطيخ والجبن لذيذه لذيذه مره وانصح فيها فيها تداخل بالطعم حالي ومالح صحيح غريبه لكن لذيذه 😄
الكبيبة اقل من عاديه تجربتي الشخصيه في حال زيارتي للمطعم لا يمكن طلبها
الزياره كانت لشخصين 🙏🏼

سلبيات المطعم 😔

الطاولات قريبه لبعض
السعر يعتبر مرتفع كثير مقارنة بنوعية الطعام في مطاعم اخرى تقدم نفس الاطباق

هل سأكرر الزياره : لا أعتقد
هل أنصح بتجربته : نعم

بالعافيه عليكم جميعا ❤️",1494,0,4,قبل 5 سنوات,لا,,2026-02-08
104,Shog O,5,قبل 5 سنوات,"مطعم سعودي قالب وقالباً (سهيل )

مكان جداً رائع وساحر بديكوره يوحي لك بالصحراء وبيت شعر
وفيه موسيقى

حبيت المكان
جلسات متعدده
يفضل الحجز
بالنهار يسمح بالاطفال وبعد العشاء ممنوع دخول الاطفال
ترحيب سعودي اصيل عند الدخول والضيافه بالقهوه العربيه ❣️👌🏼
الطاقم سعودي وكلي فخر بهم ❣️
بالامكان رويه المطبخ والطباخين عبر جدار زجاجي بداخل بيت الشعر وهذا عجبني اكثر
الاكل اللي عجبني (لذيذذذذ) :
تمن حايلي
سلطه بالقرع
سمبوسه دجاج
حلا تشيز كيك حنيني

الدخول له من الشارع وهو اللي ما كان واضح للزوار طريقه فتحه وله باب من الخلف
فيه جلسات خارجيه بالخلف بتكون رائعه بالشتاء 👌🏼
بالتاكيد ساعيد الزياره",583,0,4,قبل 5 سنوات,لا,,2026-02-08
105,Norah B SA,4,قبل 4 سنوات,"الديكور خوووورافي 😍❤️❤️❤️ وتقديم الأكل يغرف العقل ومره يواااجه تعزم فيه غالي 🤩..

فيه جلسات بالدور الثاني وجلسات خارجية.
جلسنا بالطاوله الي بالمكان الي فيه درج يفتح النفس وافضل من جلسات الداخليه أغلبه ظلام.

طلباتنا كانت :
سليق 10/10  لذيذ🤩
جريش 10/10 ألّذ شي 🤩🤩
مرقوق عادي 4/10
كبيبة عاديه 5/10
سمبوسة لحم 10/10 اعجبتنا مره 🤩.
كباب ميرو عادي 5/10

الحلا:
حنيني تشيز كيك لذيذ 10/10 🤤
خربز سهيل عبارة عن كريمة بارده في فاكهة الي هو ( شمام ) والمكس عادي مره 5/10.
القهوة العربية لذيذه لكن كمية قليلة 😬.

وعندهم ضيّافة لقيمات لكل شخص 👍🏼.

أرجع له أكيد 😍😍 المكان سااحر 😍❤️❤️",570,0,4,قبل 4 سنوات,لا,,2026-02-08
106,Yazeed Mohammed,4,قبل 3 سنوات,"السلام عليكم ورحمة الله وبركاته

أصدقاء مطاعم الرياض ، اليوم تجربتي في ســهيل

""مطعم يقدم أطباق سعودية شعبية من مختلف مناطق المملكة بشكل عصري فخم هذا بشكل عام""

•الأكل معروف للسعودين فالسعر طبيعي بيكون غالي جدًا لإن الاطباق الي عندهم تلقاها في أماكن كثيرة بسعر رخيص و جودة ممتازة

•في المطعم دورين + جلسات خارجية و مناسب للعوائل و ترحابهم فيك من دخولك الى خروجك ممتاز و جميل

•مطعم سهيل حلو لو تبي تجيب له أجانب و هذا الي صاير وقت تواجدي فيه كل الي موجودين أجانب مع سعودين يشرحون لهم الأطباق و يشجعوهم يذوقوها

•بنسبة لي التجربة ممكن تتكرر بعد مدة بسبب الأسعار بس اناقة المكان و الترحيب تستحق جية ثانية بعد فترة",611,0,4,قبل 3 سنوات,لا,,2026-02-08
107,Abdullah,3,قبل 3 سنوات,"الموقع جيد من حيث سهولة الوصول
الديكور و الراحة جيد عدا السقف الاحمر
الجلسات الخارجية روعة
الأكل حسب الطبق بعضها ممتاز و بعضها عادي
الأسعار 🔥  و بعد السؤال ما اقنعني التبرير
حبيت السليق الطايفي و الرز الحساوي
كمية الأكل قليلة في الطبق
ما أعتقد أكرر التجربة مرة ثانية",266,0,4,قبل 3 سنوات,لا,,2026-02-08
108,A W,6,قبل 4 سنوات,"بداية .. توقعته الذ من كذا
المكان صغير والديكور لطيف ..
كبسة اللحم طعمها مسمار فقط ..
السليق كان لذيذ ..
اللقيمات لذيذة..
القرصان مقبول ..
الكبيبة كانت الذ شي ✅✅✅✅
يقدمون خبز رقاق ضيافة
ما انصح فيه الا اذا احد يبي كبيبة لذيذة فعلا فعلا فعلا بس سعرها مرتفع ..",258,0,4,قبل 4 سنوات,لا,,2026-02-08
